Город,Код IATA
Абакан,UNAA
Адлер / Сочи,URSS
Алдан,UEEA
Амдерма,ULDD
Анадырь,UHMA
Анапа,URKA
Архангельск,ULAA
Архара,UHBA
Астрахань,URWA
Ачинск,UNKS
Байкит,UNIB
Балаково,UWSB
Барнаул,UNBB
Батагай,UEBB
Бегишево,UWKE
Белгород,UUOB
Белозерск,ULWB
Белорецк,UWUB
Березово,USHB
Беринговский,UHMR
Благовещенск,UHBB
Богучаны,UNKB
Бодайбо,UIKB
Братск,UIBB
Брянск,UUBP
Бугульма,UWKB
Бухта Провидения,
Геленджик,URKG
Грозный,URMG
Диксон,UODD
Екимчан,UHBP
Чайбуха,UHMG
Чебоксары,UWKS
Челябинск,USCC
Череповец,ULWC
Черский,UESS
Чита,UIAA
Чкаловский,UUMU
Чокурдах,UESO
Элиста,URWI
Иваново,UUBI
Игарка,UOII
Ижевск,USII
Инта,UUYI
Иркутск,UIII
Йошкар-Ола,UWKJ
Казань,UWKD
Калининград,UMKK
Калуга,UUBC
Кемерово,UNEE
Кепервеем,UHMK
Киренск,UIKK
Киров,USKK
Кировск,ULMK
Когалым,USRK
Колпашево,UNLL
Комсомольск-На-Амуре,UHKK
Кострома,UUBA
Котлас,ULKK
Краснодар,URKK
Красноярск,UNKU
Курган,USUU
Курск,UUOK
Кызыл,UNKY
Лаврентия,UHML
Ленск,UERL
Лешуконское,ULAL
Липецк,UUOL
Магадан,UHMM
Магдагачи,UHBI
Магнитогорск,USCM
Майкоп,URKM
Марково,UHMO
Махачкала,URML
Мильково,UHPM
Минеральные Воды,URMM
Мирный,UERR
Хабаровск,UHHH
Ханты-Мансийск,USHH
Харасавэй,USDH
Могоча,UIAM
Москва,UUBB
Мурманск,ULMM
Мыс Каменный,USDK
Мыс Шмидта,UHMI
Набережные Челны,
Надым,USMM
Нальчик,URMN
Нарьян-Мар,ULAM
Нерюнгри,UELL
Нефтекамск,UWUF
Нефтеюганск,
Нижневартовск,USNN
Нижнеудинск,UINN
Нижний Новгород,UWGG
Николаевск-на-Амуре,UHNN
Новокузнецк,UNWW
Новороссийск,
Новосибирск,UNNT
Новый Васюган,UNLW
Новый Уренгой,USMU
Норильск,UOOO
Ноябрьск,USRO
Нюрба,UENN
Октябрьский,
Олекминск,UEMO
Омолон,UHMN
Омск,UNOO
Орел,UUOR
Оренбург,UWOO
Орск,UWOR
Оссора,UHPD
Оха,UHSH
Охотск,UHOO
Певек,UHMP
Пенза,UWPP
Пермь,USPP
Петрозаводск,ULPB
Петропавловск-Камчатский,UHPP
Печора,UUYP
Подкаменная Тунгуска,UNIP
Полярный,UERP
Псковск,ULOO
Радужный,USNR
Раменское,UUBW
Ростов-на-Дону,URRR
Рыбинск,UUBK
Рязань,
Салехард,USDD
Самара,UWWW
Сангар,UEMS
Санкт Петербург,ULLL
Саранск,UWPS
Саратов,UWSS
Саскылах,UERS
Северо-Енисейск,UNIS
Североуральск,USSE
Сеймчан,UHMS
Сешча,UUWD
Смоленск,UUBS
Советская Гавань,UHKG
Советский,USHS
Соловецкий,
Средний,UODS
Ставрополь,URMT
Стрежевой,UNSS
Сургут,USRR
Сыктывкар,UUYY
Тамбовская,UUOT
Тарко-Сале,USDS
Тверь,UUEM
Теплый Ключ,UEMH
Тикси,UEST
Тиличики,UHPT
Тобольск,USTO
Томск,UNTT
Троицкое,UHHO
Тула,UUBT
Тура,UNIT
Туруханск,UOTT
Ванавара,UNIW
Великие Луки,ULOL
Великий Новгород,ULNN
Великий Устюг,ULWU
Вилюйск,UENW
Витим,UERT
Владивосток,UHWW
Владикавказ,URMO
Волгоград,URWW
Волгодонск,
Вологода,ULWW
Воркута,UUYW
Воронежская,UUOO
Екатеринбург,USSS
Енисейск,UNII
Жиганск,UEVV
Зональное,UHSO
Зырянка,UESU
Тында,UHBW
Тюмень,USTL
Улан-Удэ,UIUU
Ульяновск,UWLW
Урай,
Усинск,UUYS
Усть-Большерецк,UHPB
Усть-Илимск,UIBS
Усть-Камчатск,UHPK
Усть-Кут,UITT
Усть-Мая,UEMU
Усть-Хайрюзово,UHPU
Уфа,UWUU
Ухта,UUYH
Южно-Сахалинск,UHSS
Якутск,UEEE
Ярославль,UUDL
