Город,Код IATA
абакан,UNAA
адлер,URSS
алдан,UEEA
амдерма,ULDD
анадырь,UHMA
анапа,URKA
архангельск,ULAA
архара,UHBA
астрахань,URWA
ачинск,UNKS
байкит,UNIB
балаково,UWSB
барнаул,UNBB
батагай,UEBB
бегишево,UWKE
белгород,UUOB
белозерск,ULWB
белорецк,UWUB
березово,USHB
беринговский,UHMR
благовещенск,UHBB
богучаны,UNKB
бодайбо,UIKB
братск,UIBB
брянск,UUBP
бугульма,UWKB
бухта провидения,
геленджик,URKG
грозный,URMG
диксон,UODD
екимчан,UHBP
чайбуха,UHMG
чебоксары,UWKS
челябинск,USCC
череповец,ULWC
черский,UESS
чита,UIAA
чкаловский,UUMU
чокурдах,UESO
элиста,URWI
иваново,UUBI
игарка,UOII
ижевск,USII
инта,UUYI
иркутск,UIII
йошкар-ола,UWKJ
казань,UWKD
калининград,UMKK
калуга,UUBC
кемерово,UNEE
кепервеем,UHMK
киренск,UIKK
киров,USKK
кировск,ULMK
когалым,USRK
колпашево,UNLL
комсомольск-на-амуре,UHKK
кострома,UUBA
котлас,ULKK
краснодар,URKK
красноярск,UNKU
курган,USUU
курск,UUOK
кызыл,UNKY
лаврентия,UHML
ленск,UERL
лешуконское,ULAL
липецк,UUOL
магадан,UHMM
магдагачи,UHBI
магнитогорск,USCM
майкоп,URKM
марково,UHMO
махачкала,URML
мильково,UHPM
минеральные-воды,URMM
мирный,UERR
хабаровск,UHHH
ханты-мансийск,USHH
харасавэй,USDH
могоча,UIAM
москва,UUBB
мурманск,ULMM
мыс каменный,USDK
мыс шмидта,UHMI
набережные челны,
надым,USMM
нальчик,URMN
нарьян-мар,ULAM
нерюнгри,UELL
нефтекамск,UWUF
нефтеюганск,
нижневартовск,USNN
нижнеудинск,UINN
нижний новгород,UWGG
николаевск-на-амуре,UHNN
новокузнецк,UNWW
новороссийск,
новосибирск,UNNT
новый васюган,UNLW
новый уренгой,USMU
норильск,UOOO
ноябрьск,USRO
нюрба,UENN
октябрьский,
олекминск,UEMO
омолон,UHMN
омск,UNOO
орел,UUOR
оренбург,UWOO
орск,UWOR
оссора,UHPD
оха,UHSH
охотск,UHOO
певек,UHMP
пенза,UWPP
пермь,USPP
петрозаводск,ULPB
петропавловск-камчатский,UHPP
печора,UUYP
подкаменная тунгуска,UNIP
полярный,UERP
псковск,ULOO
радужный,USNR
раменское,UUBW
ростов-на-дону,URRR
рыбинск,UUBK
рязань,
салехард,USDD
самара,UWWW
сангар,UEMS
санкт петербург,ULLL
саранск,UWPS
саратов,UWSS
саскылах,UERS
северо-енисейск,UNIS
североуральск,USSE
сеймчан,UHMS
сешча,UUWD
смоленск,UUBS
советская-гавань,UHKG
советский,USHS
соловецкий,
средний,UODS
ставрополь,URMT
стрежевой,UNSS
сургут,USRR
сыктывкар,UUYY
тамбовская,UUOT
тарко-сале,USDS
тверь,UUEM
теплый ключ,UEMH
тикси,UEST
тиличики,UHPT
тобольск,USTO
томск,UNTT
троицкое,UHHO
тула,UUBT
тура,UNIT
туруханск,UOTT
ванавара,UNIW
великие луки,ULOL
великий новгород,ULNN
великий устюг,ULWU
вилюйск,UENW
витим,UERT
владивосток,UHWW
владикавказ,URMO
волгоград,URWW
волгодонск,
вологода,ULWW
воркута,UUYW
воронежская,UUOO
екатеринбург,USSS
енисейск,UNII
жиганск,UEVV
зональное,UHSO
зырянка,UESU
тында,UHBW
тюмень,USTL
улан-удэ,UIUU
ульяновск,UWLW
урай,
усинск,UUYS
усть-большерецк,UHPB
усть-илимск,UIBS
усть-камчатск,UHPK
усть-кут,UITT
усть-мая,UEMU
усть-хайрюзово,UHPU
уфа,UWUU
ухта,UUYH
южно-сахалинск,UHSS
якутск,UEEE
ярославль,UUDL
теплый-ключ,UEMH
санкт-петербург,ULLL
сочи,URSS
минеральные воды,URMM
воронеж,UUOO
